ds,yhat,yhat_lower,yhat_upper
2025-05-01,398.3002607861798,280.09732835456845,516.9986599664282
2025-06-01,406.22200000310363,296.03701960977804,516.8462673685115
2025-07-01,409.8881749101631,290.8398420621951,515.024878092772
2025-08-01,420.6213326096748,305.07501833510173,537.2564144136134
2025-09-01,425.5342511995943,315.3326507828496,531.7615450693672
2025-10-01,437.3293297452125,318.9530272810539,552.1959764829309
2025-11-01,442.09044759953645,325.3233389319429,558.839097381425
2025-12-01,427.3896713364852,306.92452573521877,547.2243695384491
2026-01-01,423.7728553048646,311.5777624292685,529.5444083512954
2026-02-01,418.09435564015973,300.5184075731602,525.472151206139
2026-03-01,422.5010197041435,310.3808469872763,542.2290795077226
2026-04-01,417.76620369509266,301.59563113124324,534.2800778639624
2026-05-01,407.32748749326,289.74369960032755,522.9938874461506
2026-06-01,415.77707204287674,305.5068723680831,537.031491800988
2026-07-01,419.84143135407186,303.67093367327124,530.7893073687295
2026-08-01,430.0680927466148,314.1563595553722,544.6596481228479
2026-09-01,435.55217653250315,327.168411534077,550.2358650416554
2026-10-01,448.27817334923685,339.3384010078548,561.7241893883884
2026-11-01,453.36473455720864,338.79747860047223,575.328577999222
2026-12-01,438.50473339859434,318.5002140286946,549.2640544311632
2027-01-01,432.9552484819274,310.39978950556525,555.2563199115235
2027-02-01,425.399022793197,318.7685607680668,545.8175652877691
2027-03-01,435.30387150382677,322.0130636428701,549.9567396689333
2027-04-01,428.23200308700666,314.98250380705196,544.5932270973193
