ds,yhat,yhat_lower,yhat_upper
2025-05-01,1023.0414126345703,816.3339747888506,1251.106140750192
2025-06-01,985.9703958099582,774.4496256519653,1207.981815418337
2025-07-01,953.4388941531712,734.2105544331847,1177.1336911559856
2025-08-01,955.9290604110361,723.413849111312,1166.357063861538
2025-09-01,946.8066411810041,718.2361453324943,1157.7455606902977
2025-10-01,951.2828211183698,744.9951354482843,1164.686232594182
2025-11-01,982.0415245354396,766.2652326976723,1201.633011218099
2025-12-01,994.8984118376483,774.9732138033129,1208.3259140597709
2026-01-01,1011.3960235910484,772.9955205657598,1228.2170513236522
2026-02-01,1031.4057942644629,818.7216384261606,1240.0316343358836
2026-03-01,1047.1137290163688,832.813841397769,1253.0764425890852
2026-04-01,1044.6617899836688,825.4207476055398,1263.3914758517174
2026-05-01,1040.6237240499158,822.1833871010481,1254.1628930744776
2026-06-01,1000.7977965029298,786.5696586189216,1224.7527866070598
2026-07-01,969.3544717484409,739.421645508919,1190.6593621065233
2026-08-01,971.5040544652214,749.347689007765,1186.568871926489
2026-09-01,959.3766007788265,736.4506739781096,1163.5762695640612
2026-10-01,967.1070434768736,751.8039437804583,1169.7968193965787
2026-11-01,996.7905923392381,782.9810899870616,1218.5050187038414
2026-12-01,1010.0445244749318,791.4964762677166,1229.0353794204034
2027-01-01,1028.3562686063046,807.3395239729628,1261.6235085122285
2027-02-01,1046.0375512270434,821.4442973715994,1265.5883889169395
2027-03-01,1063.6928016916913,861.3437402904717,1301.8117354210383
2027-04-01,1059.5910854852923,837.0513799549152,1282.2749332959556
