ds,yhat,yhat_lower,yhat_upper
2025-05-01,159.456678411644,112.85759185299702,205.74787451254755
2025-06-01,160.27576279796864,115.28122480016154,203.90447710385953
2025-07-01,165.97789463996506,124.47472434536829,211.78386404332159
2025-08-01,168.56834202482287,123.76219861245156,215.00305414065562
2025-09-01,171.5128465506426,127.05300677508889,216.95140349609895
2025-10-01,169.64124375619517,127.37081831275486,219.2790183038214
2025-11-01,159.58679207833902,115.71005578195036,203.1227145676046
2025-12-01,164.8705199412217,119.01691379703618,209.01764610846627
2026-01-01,161.12395024184462,120.04034916958369,204.63161539504273
2026-02-01,154.10945935222762,106.98512096199838,195.88328304614853
2026-03-01,157.8978256593587,115.17182998098886,200.95608077764786
2026-04-01,156.70398189816407,111.33292341357625,201.5467091935421
2026-05-01,165.07755237686436,120.63183346823146,211.0599896605748
2026-06-01,165.6373367960233,120.13872125278355,210.4480095501314
2026-07-01,171.74471569225648,124.71332762280515,218.84035367483892
2026-08-01,174.4473659681935,129.95367211486175,217.77373488180973
2026-09-01,177.59675062288798,133.50725796453546,225.69341196488105
2026-10-01,175.64233472499785,134.95081259109878,220.22762745491633
2026-11-01,165.14695587991343,119.96972761260918,209.54494661361852
2026-12-01,170.91280670844517,125.23489617532125,214.75456382210226
2027-01-01,166.55039559704886,124.17541124064824,211.68656459715353
2027-02-01,158.80364424910331,113.5446130090817,202.40218978746867
2027-03-01,163.84375453697638,118.72923677725967,206.98040046355212
2027-04-01,162.25028874252575,118.81251263653581,206.80145426708162
