ds,yhat,yhat_lower,yhat_upper
2025-05-01,2.312341641566379,0.7055342872756523,3.8989885981142205
2025-06-01,2.3723611817043038,0.8081567317868154,4.022196829854347
2025-07-01,2.237304522456895,0.7406942611140089,3.821956117343036
2025-08-01,2.20571385622458,0.7196796804403095,3.758468839975828
2025-09-01,2.203157974843453,0.638550481165503,3.747241107853556
2025-10-01,2.2579175962566875,0.6473852784502847,3.804601737351792
2025-11-01,2.229206916839977,0.6181133553595111,3.779339694006687
2025-12-01,2.3931453639641598,0.7931066281449222,3.9682137003163973
2026-01-01,2.286461653421707,0.7275134247038023,3.88173505289214
2026-02-01,2.2516679297018634,0.7660054894301611,3.771522380919849
2026-03-01,2.1088831730325293,0.5801293066804915,3.6743090802024803
2026-04-01,2.112038784505513,0.45796048349280866,3.7099804092341073
2026-05-01,2.1374787664673844,0.5656261823248009,3.616919226348156
2026-06-01,2.1523163248322112,0.595801712598873,3.7755258496657977
2026-07-01,2.055513807317391,0.5855846122920632,3.529623097875877
2026-08-01,2.0445646558879353,0.5991753002031669,3.6261571361877296
2026-09-01,2.024627365882345,0.4634651677456602,3.5795164205912027
2026-10-01,2.095238998690975,0.49522534041438565,3.71040644485426
2026-11-01,2.065468970582409,0.6195414698669511,3.5981245970644355
2026-12-01,2.193230469327111,0.6415521629351768,3.8639076500789797
2027-01-01,2.0800979178283807,0.5711727030379296,3.6844087860394805
2027-02-01,2.026922540103887,0.4375439354694388,3.778977066415286
2027-03-01,1.9906573370831915,0.4647784179270801,3.4784950498802534
2027-04-01,1.9460035204158457,0.2720120785987801,3.461373853172953
